Sample,Modality,Method,Burden,MAE,Cosine,Top_Process_Truth,Top_Process_Pred,Top1_Process_Match,Modal_Mass_Error
SIM-0370,DBS,Naive pooled UGA NNLS,18,0.01923676782474309,0.9799662057659478,4,5,0.0,0.0010906464912080124
SIM-0370,ID,Naive pooled UGA NNLS,65,0.01752799310120866,0.9881649683855677,5,4,0.0,0.007488743950656046
SIM-0371,SBS,Separate categorical NNLS,1399,0.002318141551387072,0.999940190762891,4,4,1.0,
SIM-0371,SBS,Separate UGA NNLS,1399,0.0011082511278915222,0.9999829630244076,4,4,1.0,
SIM-0371,DBS,Separate categorical NNLS,60,0.003939779003244122,0.9997178284407023,4,4,1.0,
SIM-0371,DBS,Separate UGA NNLS,60,0.0064795794164512486,0.9995686676919049,4,4,1.0,
SIM-0371,ID,Separate categorical NNLS,82,0.0014129653275834384,0.9999519449813384,4,4,1.0,
SIM-0371,ID,Separate UGA NNLS,82,0.0009222242007950581,0.9999874050351566,4,4,1.0,
SIM-0371,SBS,Naive pooled UGA NNLS,1399,0.0015949019921412755,0.9999737575888407,4,4,1.0,0.02268851712624642
SIM-0371,DBS,Naive pooled UGA NNLS,60,0.013152952027639964,0.9986517409488204,4,4,1.0,0.001727515377807562
SIM-0371,ID,Naive pooled UGA NNLS,82,0.011246321668159656,0.9962346437300162,4,4,1.0,0.024416032504053838
SIM-0372,SBS,Separate categorical NNLS,695,0.0010341247356483853,0.9999866534501614,5,5,1.0,
SIM-0372,SBS,Separate UGA NNLS,695,0.0011892428514987917,0.9999904663646672,5,5,1.0,
SIM-0372,DBS,Separate categorical NNLS,37,0.004041695276971221,0.9995180853675606,5,5,1.0,
SIM-0372,DBS,Separate UGA NNLS,37,0.0050039946535539465,0.9996479236624674,5,5,1.0,
SIM-0372,ID,Separate categorical NNLS,34,0.007762458073260904,0.999030825818953,5,5,1.0,
SIM-0372,ID,Separate UGA NNLS,34,0.0023210036564802004,0.9999219633858601,5,5,1.0,
SIM-0372,SBS,Naive pooled UGA NNLS,695,0.0032705838253832644,0.9998695364144858,5,5,1.0,0.009511377079612915
SIM-0372,DBS,Naive pooled UGA NNLS,37,0.01116173458842961,0.9982593858186241,5,5,1.0,0.006163273242111411
SIM-0372,ID,Naive pooled UGA NNLS,34,0.05286795408275654,0.9553485728395279,5,5,1.0,0.015674650321724173
SIM-0373,SBS,Separate categorical NNLS,680,0.004888745515681432,0.9993375430522565,12,12,1.0,
SIM-0373,SBS,Separate UGA NNLS,680,0.0017226650850617874,0.9999517379886016,12,12,1.0,
SIM-0373,DBS,Separate categorical NNLS,78,0.0013551872466102226,0.9999520659011361,12,12,1.0,
SIM-0373,DBS,Separate UGA NNLS,78,0.0014588917052825985,0.9999702227395248,12,12,1.0,
SIM-0373,ID,Separate categorical NNLS,135,0.0031861937946191733,0.9998612772759642,12,12,1.0,
SIM-0373,ID,Separate UGA NNLS,135,0.0037500115508266748,0.9998761702072744,12,12,1.0,
SIM-0373,SBS,Naive pooled UGA NNLS,680,0.002905805773590177,0.99986466439354,12,12,1.0,0.0002448937234640347
SIM-0373,DBS,Naive pooled UGA NNLS,78,0.0242252145596142,0.98897002363607,12,12,1.0,0.0012308188671930065
SIM-0373,ID,Naive pooled UGA NNLS,135,0.008081398846203952,0.9982244902433995,12,12,1.0,0.00147571259065718
SIM-0374,SBS,Separate categorical NNLS,1813,0.009898386908525344,0.9976732829373628,4,4,1.0,
