Sample,Target_Modality,Method,MAE,Cosine,Top1_Process_Match
SIM-0111,DBS,Standard random bridge,0.15837086029830996,0.01352009147284312,0.0
SIM-0350,DBS,UGA unsupervised bridge,0.011614450734428064,0.9942390091300268,1.0
SIM-0350,DBS,Oracle label bridge,0.011614450734428064,0.9942390091300268,1.0
SIM-0350,DBS,Standard no-bridge cohort mean,0.11987701789875453,0.43655671815631236,0.0
SIM-0350,DBS,Standard random bridge,0.04020897227178278,0.9390137377262431,1.0
SIM-0269,DBS,UGA unsupervised bridge,0.009534683330259728,0.9964996856313689,1.0
SIM-0269,DBS,Oracle label bridge,0.009534683330259728,0.9964996856313689,1.0
SIM-0269,DBS,Standard no-bridge cohort mean,0.11835149888822614,0.49367428560596754,0.0
SIM-0269,DBS,Standard random bridge,0.14262342599331407,0.13498018128475728,0.0
SIM-0166,DBS,UGA unsupervised bridge,0.026576543452268165,0.9798388968127618,1.0
SIM-0166,DBS,Oracle label bridge,0.026576543452268165,0.9798388968127618,1.0
SIM-0166,DBS,Standard no-bridge cohort mean,0.12229011451804907,0.39413645893973687,0.0
SIM-0166,DBS,Standard random bridge,0.12699487205507123,0.3019000231381162,0.0
SIM-0475,DBS,UGA unsupervised bridge,0.0168351272447077,0.9886775059482206,1.0
SIM-0475,DBS,Oracle label bridge,0.016835127244707697,0.9886775059482206,1.0
SIM-0475,DBS,Standard no-bridge cohort mean,0.11535304542755027,0.5023388406742824,1.0
SIM-0475,DBS,Standard random bridge,0.14870073264194295,0.0820439662382447,0.0
SIM-0487,DBS,UGA unsupervised bridge,0.010945691139408693,0.998612027629932,1.0
SIM-0487,DBS,Oracle label bridge,0.010945691139408693,0.998612027629932,1.0
SIM-0487,DBS,Standard no-bridge cohort mean,0.14319449087565414,0.3288698973603132,0.0
SIM-0487,DBS,Standard random bridge,0.16216919866312923,0.02667833020074657,0.0
SIM-0509,DBS,UGA unsupervised bridge,0.009060777826702846,0.9958349063216734,1.0
SIM-0509,DBS,Oracle label bridge,0.00906077782670285,0.9958349063216734,1.0
SIM-0509,DBS,Standard no-bridge cohort mean,0.11895485347296296,0.5120108753751788,0.0
SIM-0509,DBS,Standard random bridge,0.11163838771736012,0.3687359191537896,0.0
SIM-0329,DBS,UGA unsupervised bridge,0.012313241010225818,0.9941657134738104,1.0
SIM-0329,DBS,Oracle label bridge,0.012313241010225818,0.9941657134738104,1.0
SIM-0329,DBS,Standard no-bridge cohort mean,0.12901705430139757,0.3808233196718289,0.0
SIM-0329,DBS,Standard random bridge,0.1056033724685883,0.42091272498137444,0.0
SIM-0519,DBS,UGA unsupervised bridge,0.015042178635915568,0.9835194525714256,1.0
SIM-0519,DBS,Oracle label bridge,0.01504217863591556,0.9835194525714256,1.0
SIM-0519,DBS,Standard no-bridge cohort mean,0.10765564897137292,0.5359865240596399,0.0
SIM-0519,DBS,Standard random bridge,0.141637765623344,0.14781135478363022,0.0
SIM-0175,DBS,UGA unsupervised bridge,0.01080027459944692,0.9949478884351385,1.0
SIM-0175,DBS,Oracle label bridge,0.010800274599446923,0.9949478884351383,1.0
SIM-0175,DBS,Standard no-bridge cohort mean,0.13005126624149776,0.4356856247020265,0.0
SIM-0175,DBS,Standard random bridge,0.10909024465264461,0.26271562355188655,0.0
SIM-0205,DBS,UGA unsupervised bridge,0.009097627263211103,0.9974436291187431,1.0
SIM-0205,DBS,Oracle label bridge,0.009097627263211098,0.9974436291187433,1.0
SIM-0205,DBS,Standard no-bridge cohort mean,0.13169353646985882,0.41289821886098593,0.0
SIM-0205,DBS,Standard random bridge,0.16331091430834924,0.02501140671275834,0.0
SIM-0503,DBS,UGA unsupervised bridge,0.018092105487340724,0.9889290891282743,1.0
